chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/SimpleTimePeriod.java,SimpleTimePeriod.java,201,110,0.5472637,18,0.030403538
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Second.java,Second.java,420,224,0.53333336,32,0.016666668
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/MovingAverage.java,MovingAverage.java,296,131,0.44256756,30,0.014752252
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Quarter.java,Quarter.java,440,242,0.55,29,0.018965518
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/ohlc/OHLCItem.java,OHLCItem.java,129,78,0.60465115,10,0.060465116
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/ohlc/OHLC.java,OHLC.java,144,85,0.5902778,12,0.049189817
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/ohlc/OHLCSeriesCollection.java,OHLCSeriesCollection.java,454,268,0.59030837,38,0.015534431
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/ohlc/OHLCSeries.java,OHLCSeries.java,128,89,0.6953125,7,0.09933036
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodValuesCollection.java,TimePeriodValuesCollection.java,411,204,0.49635038,39,0.012726933
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodValues.java,TimePeriodValues.java,444,204,0.45945945,43,0.010685104
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Millisecond.java,Millisecond.java,412,218,0.5291262,28,0.018897366
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Hour.java,Hour.java,444,248,0.5585586,31,0.018018018
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimeSeriesTableModel.java,TimeSeriesTableModel.java,240,113,0.47083333,23,0.020471014
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodAnchor.java,TimePeriodAnchor.java,48,42,0.875,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodValue.java,TimePeriodValue.java,168,103,0.6130952,11,0.05573593
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/FixedMillisecond.java,FixedMillisecond.java,260,149,0.5730769,21,0.027289376
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Month.java,Month.java,495,256,0.51717174,41,0.012613945
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/RangeType.java,RangeType.java,53,47,0.8867925,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/DataUtils.java,DataUtils.java,247,122,0.49392712,31,0.015933134
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/KeyedValues.java,KeyedValues.java,89,81,0.9101124,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/FlowKey.java,FlowKey.java,162,90,0.5555556,13,0.042735044
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/NodeKey.java,NodeKey.java,145,84,0.57931036,11,0.052664578
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/FlowDataset.java,FlowDataset.java,127,109,0.8582677,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/DefaultFlowDataset.java,DefaultFlowDataset.java,357,169,0.47338936,41,0.011546082
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/FlowDatasetUtils.java,FlowDatasetUtils.java,197,105,0.5329949,19,0.028052365
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/flow/package-info.java,package-info.java,4,3,0.75,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/Range.java,Range.java,426,229,0.5375587,49,0.010970585
../TP1/Test_project/jfreechart-master/src/main/java/module-info.java,module-info.java,43,3,0.069767445,0,0.0
